1,-40,-42,-40,-41,-39
1,-42,-40,-41,-39,-40
1,-40,-41,-39,-40,-39
1,-41,-39,-40,-39,-39
1,-39,-40,-39,-39,-41
1,-40,-39,-39,-41,-40
1,-39,-39,-41,-40,-39
1,-39,-41,-40,-39,-42
1,-41,-40,-39,-42,-41
1,-40,-39,-42,-41,-41
1,-39,-42,-41,-41,-43
1,-42,-41,-41,-43,-42
1,-41,-41,-43,-42,-41
1,-41,-43,-42,-41,-41
1,-43,-42,-41,-41,-41
1,-42,-41,-41,-41,-41
1,-41,-41,-41,-41,-40
1,-41,-41,-41,-40,-41
1,-41,-41,-40,-41,-40
1,-41,-40,-41,-40,-40
1,-40,-41,-40,-40,-40
1,-41,-40,-40,-40,-39
1,-40,-40,-40,-39,-40
1,-40,-40,-39,-40,-41
1,-40,-39,-40,-41,-40
1,-39,-40,-41,-40,-41
1,-40,-41,-40,-41,-41
1,-41,-40,-41,-41,-40
1,-40,-41,-41,-40,-41
1,-41,-41,-40,-41,-39
1,-41,-40,-41,-39,-40
1,-40,-41,-39,-40,-41
1,-41,-39,-40,-41,-41
1,-39,-40,-41,-41,-41
1,-40,-41,-41,-41,-41
1,-41,-41,-41,-41,-41
1,-41,-41,-41,-41,-41
1,-41,-41,-41,-41,-41
1,-41,-41,-41,-41,-41
1,-41,-41,-41,-41,-40
1,-41,-41,-41,-40,-41
1,-41,-41,-40,-41,-40
1,-41,-40,-41,-40,-41
1,-40,-41,-40,-41,-41
1,-41,-40,-41,-41,-41
1,-40,-41,-41,-41,-40
1,-41,-41,-41,-40,-41
1,-41,-41,-40,-41,-41
1,-41,-40,-41,-41,-41
1,-40,-41,-41,-41,-40
1,-41,-41,-41,-40,-41
1,-41,-41,-40,-41,-41
1,-41,-40,-41,-41,-40
1,-40,-41,-41,-40,-41
1,-41,-41,-40,-41,-41
1,-41,-40,-41,-41,-40
1,-40,-41,-41,-40,-40
1,-41,-41,-40,-40,-40
1,-41,-40,-40,-40,-40
1,-40,-40,-40,-40,-41
1,-40,-40,-40,-41,-40
1,-40,-40,-41,-40,-42
1,-40,-41,-40,-42,-43
1,-41,-40,-42,-43,-41
1,-40,-42,-43,-41,-40
1,-42,-43,-41,-40,-40
1,-43,-41,-40,-40,-43
1,-41,-40,-40,-43,-40
1,-40,-40,-43,-40,-39
1,-40,-43,-40,-39,-39
1,-43,-40,-39,-39,-39
1,-40,-39,-39,-39,-40
1,-39,-39,-39,-40,-39
1,-39,-39,-40,-39,-40
1,-39,-40,-39,-40,-41
1,-40,-39,-40,-41,-41
1,-39,-40,-41,-41,-42
1,-40,-41,-41,-42,-43
1,-41,-41,-42,-43,-47
1,-41,-42,-43,-47,-46
1,-42,-43,-47,-46,-47
1,-43,-47,-46,-47,-43
1,-47,-46,-47,-43,-49
1,-46,-47,-43,-49,-42
1,-47,-43,-49,-42,-49
1,-43,-49,-42,-49,-48
1,-49,-42,-49,-48,-55
1,-42,-49,-48,-55,-38
1,-49,-48,-55,-38,-43
1,-48,-55,-38,-43,-59
1,-55,-38,-43,-59,-37
1,-38,-43,-59,-37,-52
1,-43,-59,-37,-52,-37
1,-59,-37,-52,-37,-44
1,-37,-52,-37,-44,-41
1,-52,-37,-44,-41,-38
1,-37,-44,-41,-38,-47
1,-44,-41,-38,-47,-42
1,-41,-38,-47,-42,-39
1,-38,-47,-42,-39,-41
1,-47,-42,-39,-41,-43
1,-42,-39,-41,-43,-39
1,-39,-41,-43,-39,-43
1,-41,-43,-39,-43,-48
1,-43,-39,-43,-48,-49
1,-39,-43,-48,-49,-41
1,-43,-48,-49,-41,-40
1,-48,-49,-41,-40,-38
1,-49,-41,-40,-38,-41
1,-41,-40,-38,-41,-38
1,-40,-38,-41,-38,-37
1,-38,-41,-38,-37,-37
1,-41,-38,-37,-37,-38
1,-38,-37,-37,-38,-38
1,-37,-37,-38,-38,-38
1,-37,-38,-38,-38,-37
1,-38,-38,-38,-37,-41
1,-38,-38,-37,-41,-37
1,-38,-37,-41,-37,-38
1,-37,-41,-37,-38,-41
1,-41,-37,-38,-41,-38
1,-37,-38,-41,-38,-35
1,-38,-41,-38,-35,-43
1,-41,-38,-35,-43,-37
1,-38,-35,-43,-37,-36
1,-35,-43,-37,-36,-40
1,-43,-37,-36,-40,-32
1,-37,-36,-40,-32,-43
1,-36,-40,-32,-43,-36
1,-40,-32,-43,-36,-35
1,-32,-43,-36,-35,-46
1,-43,-36,-35,-46,-39
1,-36,-35,-46,-39,-36
1,-35,-46,-39,-36,-46
1,-46,-39,-36,-46,-40
1,-39,-36,-46,-40,-58
1,-36,-46,-40,-58,-46
1,-46,-40,-58,-46,-47
1,-40,-58,-46,-47,-46
1,-58,-46,-47,-46,-46
1,-46,-47,-46,-46,-42
1,-47,-46,-46,-42,-40
1,-46,-46,-42,-40,-37
1,-46,-42,-40,-37,-43
1,-42,-40,-37,-43,-40
1,-40,-37,-43,-40,-38
1,-37,-43,-40,-38,-39
1,-43,-40,-38,-39,-43
1,-40,-38,-39,-43,-38
1,-38,-39,-43,-38,-45
1,-39,-43,-38,-45,-40
1,-43,-38,-45,-40,-40
1,-38,-45,-40,-40,-40
1,-45,-40,-40,-40,-44
1,-40,-40,-40,-44,-37
1,-40,-40,-44,-37,-38
1,-40,-44,-37,-38,-38
1,-44,-37,-38,-38,-50
1,-37,-38,-38,-50,-39
1,-38,-38,-50,-39,-47
1,-38,-50,-39,-47,-39
1,-50,-39,-47,-39,-44
1,-39,-47,-39,-44,-48
1,-47,-39,-44,-48,-45
1,-39,-44,-48,-45,-46
1,-44,-48,-45,-46,-39
1,-48,-45,-46,-39,-43
1,-45,-46,-39,-43,-45
1,-46,-39,-43,-45,-41
1,-39,-43,-45,-41,-51
1,-43,-45,-41,-51,-41
1,-45,-41,-51,-41,-45
1,-41,-51,-41,-45,-48
1,-51,-41,-45,-48,-52
1,-41,-45,-48,-52,-42
1,-45,-48,-52,-42,-46
1,-48,-52,-42,-46,-54
1,-52,-42,-46,-54,-40
1,-42,-46,-54,-40,-57
