MACaddress,Distance,RSSI
00:19:01:70:81:ed,2.8,-63
00:19:01:70:82:62,2.8,-86
00:19:01:70:85:c3,2.8,-58
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:62,2.8,-64
00:19:01:70:81:ed,2.8,-59
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-70
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-63
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:cb,2.8,-54
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-62
00:19:01:70:81:ed,2.8,-63
00:19:01:70:82:cb,2.8,-62
00:19:01:70:82:62,2.8,-87
00:19:01:70:85:c3,2.8,-58
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:cb,2.8,-70
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:cb,2.8,-54
00:19:01:70:85:c3,2.8,-58
00:19:01:70:81:ed,2.8,-62
00:19:01:70:82:cb,2.8,-62
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-63
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:cb,2.8,-70
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-63
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:cb,2.8,-54
00:19:01:70:82:62,2.8,-84
00:19:01:70:85:c3,2.8,-58
00:19:01:70:81:ed,2.8,-63
00:19:01:70:82:cb,2.8,-62
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-63
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:cb,2.8,-54
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-62
00:19:01:70:81:ed,2.8,-62
00:19:01:70:82:cb,2.8,-62
00:19:01:70:85:c3,2.8,-58
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:cb,2.8,-54
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-63
00:19:01:70:81:ed,2.8,-59
00:19:01:70:85:c3,2.8,-62
00:19:01:70:81:ed,2.8,-62
00:19:01:70:82:cb,2.8,-71
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-57
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:cb,2.8,-54
00:19:01:70:82:62,2.8,-63
00:19:01:70:81:ed,2.8,-59
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-71
00:19:01:70:85:c3,2.8,-63
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:cb,2.8,-54
00:19:01:70:85:c3,2.8,-63
00:19:01:70:81:ed,2.8,-62
00:19:01:70:82:cb,2.8,-62
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-63
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:cb,2.8,-71
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-63
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:cb,2.8,-54
00:19:01:70:85:c3,2.8,-57
00:19:01:70:82:cb,2.8,-62
00:19:01:70:85:c3,2.8,-63
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:cb,2.8,-54
00:19:01:70:82:62,2.8,-58
00:19:01:70:85:c3,2.8,-62
00:19:01:70:81:ed,2.8,-62
00:19:01:70:82:62,2.8,-88
00:19:01:70:85:c3,2.8,-58
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:cb,2.8,-62
00:19:01:70:82:62,2.8,-63
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:cb,2.8,-54
00:19:01:70:82:62,2.8,-88
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-59
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-62
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:62,2.8,-63
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-87
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-54
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-59
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-63
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-64
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-63
00:19:01:70:81:ed,2.8,-59
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-68
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-87
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-62
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-62
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-62
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-64
00:19:01:70:82:cb,2.8,-54
00:19:01:70:85:c3,2.8,-62
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-56
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-68
00:19:01:70:82:62,2.8,-63
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-63
00:19:01:70:82:62,2.8,-63
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-87
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-63
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:62,2.8,-86
00:19:01:70:85:c3,2.8,-64
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-63
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-62
00:19:01:70:82:cb,2.8,-71
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-54
00:19:01:70:85:c3,2.8,-64
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-62
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-64
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-62
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-68
00:19:01:70:82:62,2.8,-63
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-63
00:19:01:70:85:c3,2.8,-62
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-88
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-62
00:19:01:70:82:cb,2.8,-72
00:19:01:70:81:ed,2.8,-59
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-54
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-68
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-59
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-59
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-54
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-63
00:19:01:70:82:62,2.8,-88
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-69
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-59
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-54
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-62
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-56
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-63
00:19:01:70:82:62,2.8,-88
00:19:01:70:82:cb,2.8,-54
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-88
00:19:01:70:85:c3,2.8,-64
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-69
00:19:01:70:85:c3,2.8,-62
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-59
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-71
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-62
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-58
00:19:01:70:81:ed,2.8,-62
00:19:01:70:82:62,2.8,-86
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-71
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-62
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-62
00:19:01:70:82:cb,2.8,-72
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:62,2.8,-85
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-59
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-62
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-54
00:19:01:70:82:62,2.8,-84
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-62
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-58
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-72
00:19:01:70:81:ed,2.8,-68
00:19:01:70:85:c3,2.8,-62
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-59
00:19:01:70:81:ed,2.8,-63
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-62
00:19:01:70:82:62,2.8,-63
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-68
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-62
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-71
00:19:01:70:82:62,2.8,-84
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-62
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-62
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-85
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-63
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:62,2.8,-87
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-64
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-63
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-54
00:19:01:70:82:62,2.8,-87
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-56
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-71
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-62
00:19:01:70:81:ed,2.8,-58
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-63
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:62,2.8,-86
00:19:01:70:85:c3,2.8,-59
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:62,2.8,-64
00:19:01:70:81:ed,2.8,-68
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-59
00:19:01:70:81:ed,2.8,-59
00:19:01:70:85:c3,2.8,-63
00:19:01:70:82:62,2.8,-59
00:19:01:70:85:c3,2.8,-62
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-69
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-59
00:19:01:70:82:cb,2.8,-54
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-62
00:19:01:70:81:ed,2.8,-68
00:19:01:70:85:c3,2.8,-58
00:19:01:70:82:cb,2.8,-71
00:19:01:70:81:ed,2.8,-62
00:19:01:70:85:c3,2.8,-62
00:19:01:70:82:cb,2.8,-54
00:19:01:70:81:ed,2.8,-69
00:19:01:70:82:62,2.8,-63
00:19:01:70:85:c3,2.8,-62
00:19:01:70:82:cb,2.8,-62
00:19:01:70:82:62,2.8,-86
