MACaddress,Distance,RSSI
00:19:01:70:82:62,1.1,-53
00:19:01:70:82:cb,1.1,-57
00:19:01:70:81:ed,1.1,-60
00:19:01:70:85:c3,1.1,-50
00:19:01:70:82:62,1.1,-68
00:19:01:70:82:cb,1.1,-60
00:19:01:70:81:ed,1.1,-60
00:19:01:70:85:c3,1.1,-57
00:19:01:70:82:62,1.1,-55
00:19:01:70:82:cb,1.1,-54
00:19:01:70:81:ed,1.1,-61
00:19:01:70:82:62,1.1,-69
00:19:01:70:82:cb,1.1,-60
00:19:01:70:81:ed,1.1,-60
00:19:01:70:85:c3,1.1,-57
00:19:01:70:82:62,1.1,-57
00:19:01:70:82:cb,1.1,-54
00:19:01:70:85:c3,1.1,-54
00:19:01:70:82:62,1.1,-55
00:19:01:70:82:cb,1.1,-57
00:19:01:70:81:ed,1.1,-58
00:19:01:70:85:c3,1.1,-50
00:19:01:70:82:62,1.1,-69
00:19:01:70:82:cb,1.1,-54
00:19:01:70:81:ed,1.1,-60
00:19:01:70:85:c3,1.1,-57
00:19:01:70:82:62,1.1,-57
00:19:01:70:82:cb,1.1,-57
00:19:01:70:81:ed,1.1,-49
00:19:01:70:85:c3,1.1,-55
00:19:01:70:82:62,1.1,-55
00:19:01:70:81:ed,1.1,-61
00:19:01:70:82:cb,1.1,-60
00:19:01:70:82:62,1.1,-68
00:19:01:70:81:ed,1.1,-60
00:19:01:70:82:cb,1.1,-54
00:19:01:70:85:c3,1.1,-57
00:19:01:70:85:c3,1.1,-54
00:19:01:70:82:62,1.1,-57
00:19:01:70:85:c3,1.1,-50
00:19:01:70:82:62,1.1,-55
00:19:01:70:81:ed,1.1,-59
00:19:01:70:82:cb,1.1,-54
00:19:01:70:85:c3,1.1,-57
00:19:01:70:82:62,1.1,-69
00:19:01:70:82:cb,1.1,-58
00:19:01:70:82:62,1.1,-57
00:19:01:70:82:cb,1.1,-60
00:19:01:70:85:c3,1.1,-50
00:19:01:70:82:62,1.1,-55
00:19:01:70:85:c3,1.1,-54
00:19:01:70:82:62,1.1,-68
00:19:01:70:82:cb,1.1,-58
00:19:01:70:81:ed,1.1,-49
00:19:01:70:85:c3,1.1,-50
00:19:01:70:82:62,1.1,-57
00:19:01:70:82:cb,1.1,-60
00:19:01:70:81:ed,1.1,-60
00:19:01:70:85:c3,1.1,-58
00:19:01:70:82:62,1.1,-69
00:19:01:70:82:cb,1.1,-54
00:19:01:70:81:ed,1.1,-49
00:19:01:70:85:c3,1.1,-54
00:19:01:70:82:62,1.1,-57
00:19:01:70:82:cb,1.1,-58
00:19:01:70:81:ed,1.1,-61
00:19:01:70:85:c3,1.1,-50
00:19:01:70:82:62,1.1,-55
00:19:01:70:82:cb,1.1,-54
00:19:01:70:85:c3,1.1,-58
00:19:01:70:81:ed,1.1,-49
00:19:01:70:85:c3,1.1,-55
00:19:01:70:82:62,1.1,-55
00:19:01:70:82:cb,1.1,-60
00:19:01:70:81:ed,1.1,-60
00:19:01:70:85:c3,1.1,-50
00:19:01:70:82:62,1.1,-69
00:19:01:70:82:cb,1.1,-54
00:19:01:70:81:ed,1.1,-49
00:19:01:70:85:c3,1.1,-54
00:19:01:70:82:62,1.1,-55
00:19:01:70:82:cb,1.1,-58
00:19:01:70:81:ed,1.1,-61
00:19:01:70:85:c3,1.1,-51
00:19:01:70:82:62,1.1,-69
00:19:01:70:82:cb,1.1,-61
00:19:01:70:81:ed,1.1,-57
00:19:01:70:85:c3,1.1,-58
00:19:01:70:82:62,1.1,-57
00:19:01:70:82:cb,1.1,-54
00:19:01:70:81:ed,1.1,-49
00:19:01:70:85:c3,1.1,-55
00:19:01:70:82:62,1.1,-55
00:19:01:70:82:cb,1.1,-58
00:19:01:70:81:ed,1.1,-58
00:19:01:70:85:c3,1.1,-50
00:19:01:70:82:62,1.1,-69
00:19:01:70:82:cb,1.1,-54
00:19:01:70:85:c3,1.1,-55
00:19:01:70:82:62,1.1,-57
00:19:01:70:82:cb,1.1,-58
00:19:01:70:81:ed,1.1,-61
00:19:01:70:85:c3,1.1,-50
00:19:01:70:82:62,1.1,-55
00:19:01:70:82:cb,1.1,-60
00:19:01:70:81:ed,1.1,-60
00:19:01:70:85:c3,1.1,-58
00:19:01:70:82:62,1.1,-69
00:19:01:70:82:cb,1.1,-54
00:19:01:70:81:ed,1.1,-49
00:19:01:70:85:c3,1.1,-55
00:19:01:70:82:62,1.1,-55
00:19:01:70:82:cb,1.1,-58
00:19:01:70:81:ed,1.1,-61
00:19:01:70:85:c3,1.1,-50
00:19:01:70:82:62,1.1,-69
00:19:01:70:82:cb,1.1,-54
00:19:01:70:81:ed,1.1,-60
00:19:01:70:85:c3,1.1,-58
00:19:01:70:82:62,1.1,-57
00:19:01:70:82:cb,1.1,-58
00:19:01:70:85:c3,1.1,-55
00:19:01:70:82:62,1.1,-55
00:19:01:70:82:cb,1.1,-60
00:19:01:70:81:ed,1.1,-60
00:19:01:70:85:c3,1.1,-51
00:19:01:70:82:62,1.1,-69
00:19:01:70:82:cb,1.1,-54
00:19:01:70:81:ed,1.1,-49
00:19:01:70:85:c3,1.1,-58
00:19:01:70:82:62,1.1,-57
00:19:01:70:81:ed,1.1,-61
00:19:01:70:85:c3,1.1,-55
00:19:01:70:82:62,1.1,-69
00:19:01:70:81:ed,1.1,-60
00:19:01:70:85:c3,1.1,-49
00:19:01:70:82:62,1.1,-57
