MACaddress,Distance,RSSI
00:19:01:70:85:c3,0.1,-27
00:19:01:70:81:ed,0.1,-28
00:19:01:70:82:62,0.1,-14
00:19:01:70:82:cb,0.1,-35
00:19:01:70:85:c3,0.1,-28
00:19:01:70:81:ed,0.1,-27
00:19:01:70:82:62,0.1,-14
00:19:01:70:82:cb,0.1,-33
00:19:01:70:85:c3,0.1,-30
00:19:01:70:81:ed,0.1,-30
00:19:01:70:82:62,0.1,-17
00:19:01:70:82:cb,0.1,-38
00:19:01:70:85:c3,0.1,-27
00:19:01:70:82:62,0.1,-14
00:19:01:70:82:cb,0.1,-35
00:19:01:70:85:c3,0.1,-30
00:19:01:70:81:ed,0.1,-30
00:19:01:70:82:62,0.1,-18
00:19:01:70:81:ed,0.1,-27
00:19:01:70:82:62,0.1,-14
00:19:01:70:82:cb,0.1,-35
00:19:01:70:85:c3,0.1,-28
00:19:01:70:81:ed,0.1,-30
00:19:01:70:82:62,0.1,-14
00:19:01:70:82:cb,0.1,-33
00:19:01:70:85:c3,0.1,-30
00:19:01:70:81:ed,0.1,-27
00:19:01:70:82:62,0.1,-17
00:19:01:70:82:cb,0.1,-37
00:19:01:70:85:c3,0.1,-27
00:19:01:70:81:ed,0.1,-27
00:19:01:70:82:62,0.1,-14
00:19:01:70:85:c3,0.1,-28
00:19:01:70:82:cb,0.1,-35
00:19:01:70:82:62,0.1,-18
00:19:01:70:82:cb,0.1,-33
00:19:01:70:81:ed,0.1,-28
00:19:01:70:82:62,0.1,-14
00:19:01:70:82:cb,0.1,-38
00:19:01:70:85:c3,0.1,-28
00:19:01:70:81:ed,0.1,-30
00:19:01:70:82:62,0.1,-14
00:19:01:70:82:cb,0.1,-33
00:19:01:70:85:c3,0.1,-28
00:19:01:70:81:ed,0.1,-28
00:19:01:70:82:62,0.1,-18
00:19:01:70:85:c3,0.1,-27
00:19:01:70:81:ed,0.1,-27
00:19:01:70:82:62,0.1,-14
00:19:01:70:85:c3,0.1,-28
00:19:01:70:81:ed,0.1,-30
00:19:01:70:82:62,0.1,-17
00:19:01:70:81:ed,0.1,-28
00:19:01:70:82:62,0.1,-14
00:19:01:70:82:cb,0.1,-37
00:19:01:70:85:c3,0.1,-27
00:19:01:70:81:ed,0.1,-27
00:19:01:70:85:c3,0.1,-30
00:19:01:70:82:cb,0.1,-33
00:19:01:70:81:ed,0.1,-30
00:19:01:70:82:62,0.1,-18
00:19:01:70:85:c3,0.1,-27
00:19:01:70:82:cb,0.1,-38
00:19:01:70:81:ed,0.1,-28
00:19:01:70:82:62,0.1,-14
00:19:01:70:85:c3,0.1,-28
00:19:01:70:82:cb,0.1,-35
00:19:01:70:81:ed,0.1,-27
00:19:01:70:82:62,0.1,-18
00:19:01:70:85:c3,0.1,-30
00:19:01:70:81:ed,0.1,-30
00:19:01:70:82:62,0.1,-14
00:19:01:70:85:c3,0.1,-27
00:19:01:70:82:cb,0.1,-35
00:19:01:70:81:ed,0.1,-28
00:19:01:70:82:62,0.1,-14
00:19:01:70:85:c3,0.1,-30
00:19:01:70:82:cb,0.1,-37
00:19:01:70:81:ed,0.1,-27
00:19:01:70:82:62,0.1,-17
00:19:01:70:85:c3,0.1,-27
00:19:01:70:82:cb,0.1,-35
00:19:01:70:81:ed,0.1,-28
00:19:01:70:82:62,0.1,-14
00:19:01:70:85:c3,0.1,-28
00:19:01:70:82:cb,0.1,-34
00:19:01:70:81:ed,0.1,-27
00:19:01:70:82:62,0.1,-17
00:19:01:70:85:c3,0.1,-30
00:19:01:70:82:cb,0.1,-38
00:19:01:70:81:ed,0.1,-30
00:19:01:70:82:62,0.1,-14
00:19:01:70:85:c3,0.1,-28
00:19:01:70:82:cb,0.1,-35
00:19:01:70:81:ed,0.1,-27
00:19:01:70:82:62,0.1,-12
00:19:01:70:85:c3,0.1,-30
00:19:01:70:81:ed,0.1,-30
00:19:01:70:85:c3,0.1,-26
00:19:01:70:82:cb,0.1,-35
00:19:01:70:81:ed,0.1,-28
00:19:01:70:82:62,0.1,-14
00:19:01:70:85:c3,0.1,-28
00:19:01:70:82:cb,0.1,-33
00:19:01:70:81:ed,0.1,-27
00:19:01:70:82:62,0.1,-18
00:19:01:70:82:cb,0.1,-38
00:19:01:70:81:ed,0.1,-30
00:19:01:70:82:62,0.1,-14
00:19:01:70:85:c3,0.1,-28
00:19:01:70:82:cb,0.1,-35
00:19:01:70:81:ed,0.1,-28
00:19:01:70:82:62,0.1,-18
00:19:01:70:85:c3,0.1,-30
00:19:01:70:82:cb,0.1,-33
00:19:01:70:81:ed,0.1,-27
00:19:01:70:82:62,0.1,-14
00:19:01:70:82:cb,0.1,-38
00:19:01:70:85:c3,0.1,-27
00:19:01:70:85:c3,0.1,-28
00:19:01:70:82:62,0.1,-14
