MACaddress,Distance,RSSI
00:19:01:70:82:cb,0.5,-46
00:19:01:70:85:c3,0.5,-58
00:19:01:70:82:cb,0.5,-48
00:19:01:70:85:c3,0.5,-42
00:19:01:70:81:ed,0.5,-45
00:19:01:70:82:cb,0.5,-54
00:19:01:70:82:62,0.5,-54
00:19:01:70:85:c3,0.5,-43
00:19:01:70:82:cb,0.5,-46
00:19:01:70:82:62,0.5,-53
00:19:01:70:82:cb,0.5,-48
00:19:01:70:82:62,0.5,-54
00:19:01:70:85:c3,0.5,-42
00:19:01:70:81:ed,0.5,-44
00:19:01:70:82:cb,0.5,-54
00:19:01:70:82:62,0.5,-53
00:19:01:70:85:c3,0.5,-43
00:19:01:70:81:ed,0.5,-51
00:19:01:70:82:cb,0.5,-47
00:19:01:70:82:62,0.5,-48
00:19:01:70:82:cb,0.5,-54
00:19:01:70:82:62,0.5,-54
00:19:01:70:81:ed,0.5,-45
00:19:01:70:81:ed,0.5,-40
00:19:01:70:85:c3,0.5,-43
00:19:01:70:82:62,0.5,-48
00:19:01:70:81:ed,0.5,-51
00:19:01:70:85:c3,0.5,-58
00:19:01:70:82:cb,0.5,-54
00:19:01:70:82:62,0.5,-54
00:19:01:70:81:ed,0.5,-45
00:19:01:70:85:c3,0.5,-42
00:19:01:70:82:cb,0.5,-46
00:19:01:70:82:62,0.5,-53
00:19:01:70:85:c3,0.5,-43
00:19:01:70:81:ed,0.5,-40
00:19:01:70:82:cb,0.5,-48
00:19:01:70:82:62,0.5,-48
00:19:01:70:82:cb,0.5,-53
00:19:01:70:85:c3,0.5,-42
00:19:01:70:81:ed,0.5,-40
00:19:01:70:82:cb,0.5,-46
00:19:01:70:85:c3,0.5,-57
00:19:01:70:82:62,0.5,-49
00:19:01:70:81:ed,0.5,-51
00:19:01:70:82:cb,0.5,-47
00:19:01:70:82:62,0.5,-54
00:19:01:70:85:c3,0.5,-42
00:19:01:70:81:ed,0.5,-45
00:19:01:70:82:cb,0.5,-53
00:19:01:70:82:62,0.5,-53
00:19:01:70:85:c3,0.5,-43
00:19:01:70:81:ed,0.5,-40
00:19:01:70:82:cb,0.5,-47
00:19:01:70:82:62,0.5,-49
00:19:01:70:85:c3,0.5,-56
00:19:01:70:82:cb,0.5,-53
00:19:01:70:82:62,0.5,-53
00:19:01:70:81:ed,0.5,-45
00:19:01:70:85:c3,0.5,-42
00:19:01:70:82:cb,0.5,-46
00:19:01:70:82:62,0.5,-47
00:19:01:70:81:ed,0.5,-50
00:19:01:70:82:cb,0.5,-47
00:19:01:70:81:ed,0.5,-45
00:19:01:70:85:c3,0.5,-42
00:19:01:70:82:cb,0.5,-51
00:19:01:70:82:62,0.5,-51
00:19:01:70:81:ed,0.5,-40
00:19:01:70:85:c3,0.5,-43
00:19:01:70:82:62,0.5,-49
00:19:01:70:85:c3,0.5,-57
00:19:01:70:81:ed,0.5,-50
00:19:01:70:85:c3,0.5,-42
00:19:01:70:82:62,0.5,-54
00:19:01:70:81:ed,0.5,-46
00:19:01:70:82:cb,0.5,-46
00:19:01:70:85:c3,0.5,-44
00:19:01:70:81:ed,0.5,-50
00:19:01:70:82:cb,0.5,-47
00:19:01:70:81:ed,0.5,-45
00:19:01:70:82:cb,0.5,-54
00:19:01:70:85:c3,0.5,-42
00:19:01:70:82:62,0.5,-52
00:19:01:70:81:ed,0.5,-40
00:19:01:70:85:c3,0.5,-55
00:19:01:70:82:62,0.5,-49
00:19:01:70:82:cb,0.5,-54
