MACaddress,Distance,RSSI
00:19:01:70:81:ed,2.4,-58
00:19:01:70:82:cb,2.4,-62
00:19:01:70:85:c3,2.4,-63
00:19:01:70:81:ed,2.4,-74
00:19:01:70:82:cb,2.4,-57
00:19:01:70:85:c3,2.4,-72
00:19:01:70:81:ed,2.4,-62
00:19:01:70:82:cb,2.4,-52
00:19:01:70:85:c3,2.4,-63
00:19:01:70:81:ed,2.4,-58
00:19:01:70:85:c3,2.4,-72
00:19:01:70:81:ed,2.4,-62
00:19:01:70:82:cb,2.4,-52
00:19:01:70:85:c3,2.4,-66
00:19:01:70:81:ed,2.4,-58
00:19:01:70:82:cb,2.4,-62
00:19:01:70:85:c3,2.4,-63
00:19:01:70:81:ed,2.4,-74
00:19:01:70:82:cb,2.4,-57
00:19:01:70:85:c3,2.4,-72
00:19:01:70:81:ed,2.4,-62
00:19:01:70:82:cb,2.4,-52
00:19:01:70:85:c3,2.4,-66
00:19:01:70:81:ed,2.4,-58
00:19:01:70:85:c3,2.4,-63
00:19:01:70:81:ed,2.4,-74
00:19:01:70:82:cb,2.4,-52
00:19:01:70:85:c3,2.4,-66
00:19:01:70:81:ed,2.4,-62
00:19:01:70:85:c3,2.4,-63
00:19:01:70:82:cb,2.4,-62
00:19:01:70:81:ed,2.4,-58
00:19:01:70:82:cb,2.4,-52
00:19:01:70:81:ed,2.4,-74
00:19:01:70:85:c3,2.4,-66
00:19:01:70:82:cb,2.4,-62
00:19:01:70:81:ed,2.4,-62
00:19:01:70:85:c3,2.4,-63
00:19:01:70:82:cb,2.4,-55
00:19:01:70:85:c3,2.4,-71
00:19:01:70:82:cb,2.4,-52
00:19:01:70:81:ed,2.4,-62
00:19:01:70:82:cb,2.4,-62
00:19:01:70:81:ed,2.4,-58
00:19:01:70:82:cb,2.4,-52
00:19:01:70:81:ed,2.4,-74
00:19:01:70:85:c3,2.4,-66
00:19:01:70:82:cb,2.4,-62
00:19:01:70:81:ed,2.4,-62
00:19:01:70:85:c3,2.4,-63
00:19:01:70:81:ed,2.4,-58
00:19:01:70:82:cb,2.4,-52
00:19:01:70:81:ed,2.4,-74
00:19:01:70:85:c3,2.4,-66
00:19:01:70:81:ed,2.4,-62
00:19:01:70:85:c3,2.4,-63
00:19:01:70:82:cb,2.4,-57
00:19:01:70:81:ed,2.4,-74
00:19:01:70:85:c3,2.4,-72
00:19:01:70:82:cb,2.4,-52
00:19:01:70:81:ed,2.4,-62
00:19:01:70:85:c3,2.4,-66
00:19:01:70:82:cb,2.4,-63
00:19:01:70:81:ed,2.4,-59
00:19:01:70:85:c3,2.4,-63
