MACaddress,Distance,RSSI
00:19:01:70:82:62,1.2,-61
00:19:01:70:85:c3,1.2,-57
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-65
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-55
00:19:01:70:82:62,1.2,-75
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-66
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:62,1.2,-75
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:cb,1.2,-55
00:19:01:70:82:62,1.2,-66
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:62,1.2,-66
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:62,1.2,-65
00:19:01:70:82:cb,1.2,-57
00:19:01:70:82:62,1.2,-74
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:62,1.2,-65
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:62,1.2,-75
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:62,1.2,-62
00:19:01:70:82:cb,1.2,-56
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:62,1.2,-71
00:19:01:70:82:cb,1.2,-53
00:19:01:70:82:62,1.2,-62
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-64
00:19:01:70:82:cb,1.2,-55
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:cb,1.2,-53
00:19:01:70:85:c3,1.2,-64
00:19:01:70:82:62,1.2,-62
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:62,1.2,-77
00:19:01:70:82:cb,1.2,-55
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:62,1.2,-62
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-74
00:19:01:70:82:cb,1.2,-57
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:62,1.2,-65
00:19:01:70:82:cb,1.2,-55
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-53
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:62,1.2,-66
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:62,1.2,-75
00:19:01:70:82:cb,1.2,-55
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:62,1.2,-58
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:62,1.2,-65
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:62,1.2,-74
00:19:01:70:82:cb,1.2,-53
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:62,1.2,-62
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:62,1.2,-65
00:19:01:70:82:cb,1.2,-55
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:62,1.2,-75
00:19:01:70:82:cb,1.2,-53
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-65
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-57
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:cb,1.2,-53
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:62,1.2,-75
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:cb,1.2,-53
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-65
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-57
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-65
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-66
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:cb,1.2,-57
00:19:01:70:82:62,1.2,-74
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-55
00:19:01:70:82:62,1.2,-74
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-65
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:cb,1.2,-55
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-65
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:cb,1.2,-53
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:62,1.2,-76
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-65
00:19:01:70:85:c3,1.2,-57
00:19:01:70:82:cb,1.2,-57
00:19:01:70:82:62,1.2,-76
00:19:01:70:85:c3,1.2,-64
00:19:01:70:82:cb,1.2,-53
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-52
00:19:01:70:82:62,1.2,-65
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:cb,1.2,-56
00:19:01:70:82:62,1.2,-76
00:19:01:70:85:c3,1.2,-64
00:19:01:70:82:cb,1.2,-53
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:62,1.2,-75
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:cb,1.2,-53
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-64
00:19:01:70:82:cb,1.2,-53
00:19:01:70:82:62,1.2,-62
00:19:01:70:82:cb,1.2,-51
00:19:01:70:85:c3,1.2,-64
00:19:01:70:82:62,1.2,-65
00:19:01:70:82:cb,1.2,-57
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:62,1.2,-76
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-56
00:19:01:70:82:62,1.2,-65
00:19:01:70:82:cb,1.2,-53
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:62,1.2,-62
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-64
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:62,1.2,-66
00:19:01:70:82:cb,1.2,-57
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:cb,1.2,-53
00:19:01:70:82:cb,1.2,-54
00:19:01:70:85:c3,1.2,-64
00:19:01:70:82:cb,1.2,-57
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:62,1.2,-75
00:19:01:70:82:cb,1.2,-52
00:19:01:70:85:c3,1.2,-64
00:19:01:70:82:62,1.2,-62
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-66
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-53
00:19:01:70:82:62,1.2,-75
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-62
00:19:01:70:82:cb,1.2,-57
00:19:01:70:82:62,1.2,-65
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-75
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:cb,1.2,-55
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-53
00:19:01:70:82:62,1.2,-66
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-75
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-53
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-75
00:19:01:70:85:c3,1.2,-64
00:19:01:70:82:cb,1.2,-55
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-53
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-74
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:cb,1.2,-57
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-53
00:19:01:70:82:62,1.2,-65
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:cb,1.2,-55
00:19:01:70:82:62,1.2,-65
00:19:01:70:85:c3,1.2,-56
00:19:01:70:82:cb,1.2,-53
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-75
00:19:01:70:85:c3,1.2,-56
00:19:01:70:82:62,1.2,-62
00:19:01:70:85:c3,1.2,-59
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-74
00:19:01:70:85:c3,1.2,-63
00:19:01:70:82:cb,1.2,-54
00:19:01:70:82:62,1.2,-62
00:19:01:70:82:cb,1.2,-57
00:19:01:70:82:62,1.2,-66
00:19:01:70:85:c3,1.2,-58
00:19:01:70:82:62,1.2,-74
