0.1,-31
0.1,-35
0.1,-37
0.1,-18
0.1,-23
0.1,-54
0.1,-31
0.1,-30
0.1,-32
0.1,-31
0.1,-37
0.1,-31
0.1,-30
0.1,-35
0.1,-31
0.1,-53
0.1,-31
0.1,-20
0.1,-25
0.1,-35
0.1,-31
0.1,-35
0.1,-31
0.1,-23
0.1,-52
0.1,-32
0.1,-36
0.1,-24
0.1,-36
0.1,-27
0.1,-37
0.1,-18
0.1,-24
0.1,-35
0.1,-32
0.1,-35
0.1,-18
0.1,-25
0.1,-36
0.1,-26
0.1,-42
0.1,-19
0.1,-24
0.1,-30
0.1,-31
0.1,-42
0.1,-23
0.1,-51
0.1,-32
0.1,-40
0.1,-31
0.1,-31
0.1,-37
0.1,-31
0.1,-23
0.1,-30
0.1,-31
0.1,-34
0.1,-25
0.1,-53
0.1,-26
0.1,-37
0.1,-24
0.1,-32
0.1,-24
0.1,-35
0.1,-27
0.1,-40
0.1,-18
0.1,-25
0.1,-32
0.1,-40
0.1,-31
0.1,-31
0.1,-35
0.1,-37
0.1,-31
0.1,-56
0.1,-27
0.1,-28
0.1,-26
0.1,-36
0.1,-31
0.1,-35
0.1,-20
0.1,-52
0.1,-36
0.1,-28
0.1,-31
0.1,-35
0.1,-25
0.1,-31
0.1,-30
0.1,-31
0.1,-36
0.1,-24
0.1,-48
0.1,-26
0.1,-31
0.1,-26
0.1,-36
0.1,-31
0.1,-19
0.1,-25
0.1,-35
0.1,-25
0.1,-35
0.1,-19
0.1,-23
0.1,-39
0.1,-19
0.1,-32
0.1,-27
0.1,-41
0.1,-31
0.1,-23
0.1,-31
0.1,-42
0.1,-31
0.1,-31
0.1,-32
0.1,-37
0.1,-28
0.1,-27
0.1,-35
0.1,-18
0.1,-23
0.1,-56
0.1,-31
0.1,-19
0.1,-35
0.1,-31
0.1,-37
0.1,-25
0.1,-54
0.1,-20
0.1,-45
0.1,-24
0.1,-31
0.1,-26
0.1,-19
0.1,-30
0.1,-31
0.1,-41
0.1,-31
0.1,-28
0.1,-31
0.1,-19
0.1,-31
0.1,-32
0.1,-17
0.1,-31
